ID,Character,Alias,Powers,Real-name,Alignment,Base-of-operations,Occupation,First-appearance,URL,Image
superman,Superman,Man of Steel,"super strength, flight, invulnerability, super speed, heat vision, freeze breath, x-ray vision, superhuman hearing, healing factor",Kal-El or Clark Joseph Kent,superhero,Metropolis,a reporter,ACTION COMICS #1 (1938),https://www.dccomics.com/characters/superman,dc1.jpg
lex-luthor,Lex Luthor,N/A,"genius-level intellect, inexhaustible wealth, political influence",Lex Luthor,supervillain,Metropolis,the CEO of Lexcorp,ACTION COMICS #23 (1940),https://www.dccomics.com/characters/lex-luthor,dc2.jpg
batman,Batman,"Dark Knight, Caped Crusader, Matches Malone","exceptional martial artist, combat strategy, inexhaustible wealth, brilliant deductive skill, advanced technology",Bruce Wayne,superhero,Gotham,the CEO of Wayne enterprises,DETECTIVE COMICS #27 (1939),https://www.dccomics.com/characters/batman,dc3.jpg
robin,Robin,Boy Wonder,"exceptional martial artist, combat strategy, advanced technology, gymnastic ability",Damian Wayne,superhero,Gotham,the son of Bruce Wayne,DETECTIVE COMICS #38 (1940),https://www.dccomics.com/characters/robin,dc4.jpg
joker,Joker,"Clown Prince of Crime, Red Hood, Jack Napier","insanity, joker venom, advanced knowledge of firearms, master anarchy, genius-level intellect, master chemistry, master manipulating skills, professional strategy, surprisingly skilled at hand-to-hand combat, razor-sharp playing cards, acid-spewing flower, cyanide pies, electric buzzer, fourth wall awareness, unpredictable nature",Unknown,supervillain,Gotham,"a professional criminal mastermind, serial killer, Batman's arch-nemesis, terrorist, and crime lord",BATMAN #1 (1940),https://www.dccomics.com/characters/joker,dc5.jpg
harley-quinn,Harley Quinn,"Harley Poo, Dr. Quinzel, Miss Wisekedjak","superhuman agility, enhanced strength, intelligence",Harleen Quinzel,supervillain,Gotham,a former psychiatrist,BATMAN: THE ANIMATED SERIES (1992),https://www.dccomics.com/characters/harley-quinn,dc6.jpg
catwoman,Catwoman,"Catwoman, Mrs. Kyle, Irena Dubravna","exceptional martial artist, gymnastic ability, combat skill",Selina Kyle,supervillain,Gotham,a thief,BATMAN #1 (1940),https://www.dccomics.com/characters/catwoman,dc7.jpg
poison-ivy,Poison Ivy,"Red, Poison Oaky, Mother Nature","control over plant life, intelligence, immunity to toxins, pheromone usage, secretes deadly toxins",Pamela Lillian Isley,supervillain,Gotham,"a botanist, toxin expert, and ecoterroist",BATMAN #181 (1966),https://www.dccomics.com/characters/poison-ivy,dc8.jpg
bane,Bane,The Man Who Broke the Bat,"venom-driven super-human strength, genius-level intellect",Dorrance,supervillain,Gotham,an international terrorist,BATMAN: VENGEANCE OF BANE #1 (1993),https://www.dccomics.com/characters/bane,dc9.jpg
wonder-woman,Wonder Woman,"Diana Prince, Princess Diana, Goddess of Truth","super strength, invulnerability, flight, combat skill, combat strategy, superhuman agility, healing factor, magic weaponry",Diana of Themyscira,superhero,Justice League Watchtower,an Amazon princess,ALL-STAR COMICS #8 (1941),https://www.dccomics.com/characters/wonder-woman,dc10.jpg
